2016-12-20 16:39:19.477697

topic-folder:/home/ec2-user/data/topics/
cl-file:/home/ec2-user/git/tfidf/result-new/b2-1.txt
cl-floder:/home/ec2-user/data/lsaclass/
zipf:0.1
stype[0(tfidf)/1(tfidf2)/2(lsa)/3(lda)]:2
dtype[<0(diff*rand)/0(diff)/1(same)/>=2(diff*same)]:-10
output-floder:/home/ec2-user/git/userquery/result-new

三菱マテリアル株式会社

@/home/ec2-user/data/topics/1697 157
富士通株式会社

@/home/ec2-user/data/topics/3520 158
@/home/ec2-user/data/topics/2227 158
@/home/ec2-user/data/topics/3962 159
@/home/ec2-user/data/topics/3765 160
@/home/ec2-user/data/topics/3538 161
@/home/ec2-user/data/topics/1967 162
@/home/ec2-user/data/topics/3961 162
@/home/ec2-user/data/topics/4573 162
@/home/ec2-user/data/topics/4629 162
@/home/ec2-user/data/topics/4098 162
@/home/ec2-user/data/topics/3723 162
@/home/ec2-user/data/topics/4191 162
@/home/ec2-user/data/topics/3428 163
@/home/ec2-user/data/topics/2215 164
@/home/ec2-user/data/topics/4302 165
@/home/ec2-user/data/topics/3636 165
@/home/ec2-user/data/topics/1264 166
@/home/ec2-user/data/topics/1271 167
@/home/ec2-user/data/topics/1547 168
@/home/ec2-user/data/topics/4463 169
@/home/ec2-user/data/topics/3749 169
@/home/ec2-user/data/topics/3526 170
@/home/ec2-user/data/topics/3863 170
@/home/ec2-user/data/topics/3870 170
@/home/ec2-user/data/topics/2216 171
@/home/ec2-user/data/topics/3400 172
@/home/ec2-user/data/topics/3883 173
@/home/ec2-user/data/topics/4141 174
@/home/ec2-user/data/topics/3850 174
@/home/ec2-user/data/topics/1649 175
@/home/ec2-user/data/topics/3569 175
@/home/ec2-user/data/topics/1526 175
@/home/ec2-user/data/topics/1464 175
@/home/ec2-user/data/topics/3846 175
@/home/ec2-user/data/topics/4214 176
@/home/ec2-user/data/topics/4511 176
@/home/ec2-user/data/topics/1123 176
@/home/ec2-user/data/topics/3802 177
@/home/ec2-user/data/topics/3460 178
@/home/ec2-user/data/topics/3582 179
@/home/ec2-user/data/topics/1874 179
@/home/ec2-user/data/topics/1666 180
@/home/ec2-user/data/topics/4394 180
@/home/ec2-user/data/topics/5004 180
@/home/ec2-user/data/topics/3970 181
@/home/ec2-user/data/topics/2044 182
@/home/ec2-user/data/topics/1609 182
@/home/ec2-user/data/topics/3862 183
@/home/ec2-user/data/topics/3381 184
@/home/ec2-user/data/topics/3799 185
@/home/ec2-user/data/topics/3365 186
@/home/ec2-user/data/topics/3751 186
@/home/ec2-user/data/topics/1168 187
@/home/ec2-user/data/topics/4467 187
@/home/ec2-user/data/topics/1998 187
@/home/ec2-user/data/topics/1290 188
@/home/ec2-user/data/topics/1107 188
@/home/ec2-user/data/topics/1833 188
@/home/ec2-user/data/topics/1144 188
@/home/ec2-user/data/topics/3678 188
@/home/ec2-user/data/topics/1664 188
@/home/ec2-user/data/topics/3912 188
@/home/ec2-user/data/topics/3399 189
@/home/ec2-user/data/topics/3596 190
静岡日本電気株式会社

@/home/ec2-user/data/topics/4250 190
@/home/ec2-user/data/topics/4507 190
@/home/ec2-user/data/topics/4531 191
@/home/ec2-user/data/topics/1444 192
@/home/ec2-user/data/topics/4326 192
@/home/ec2-user/data/topics/3361 193
@/home/ec2-user/data/topics/4365 193
@/home/ec2-user/data/topics/4767 194
@/home/ec2-user/data/topics/4314 194
@/home/ec2-user/data/topics/3421 195
@/home/ec2-user/data/topics/3958 195
@/home/ec2-user/data/topics/3372 195
住友重機械工業株式会社

@/home/ec2-user/data/topics/2039 195
@/home/ec2-user/data/topics/1373 195
@/home/ec2-user/data/topics/3868 196
@/home/ec2-user/data/topics/1019 197
@/home/ec2-user/data/topics/1900 198
@/home/ec2-user/data/topics/1505 199
@/home/ec2-user/data/topics/4211 200
@/home/ec2-user/data/topics/4340 200
@/home/ec2-user/data/topics/4854 200
@/home/ec2-user/data/topics/4781 201
@/home/ec2-user/data/topics/1553 201
@/home/ec2-user/data/topics/4112 202
@/home/ec2-user/data/topics/4248 202
@/home/ec2-user/data/topics/2146 202
@/home/ec2-user/data/topics/3952 202
@/home/ec2-user/data/topics/1122 203
@/home/ec2-user/data/topics/2079 203
@/home/ec2-user/data/topics/1735 203
大日本印刷株式会社

@/home/ec2-user/data/topics/4719 203
@/home/ec2-user/data/topics/1262 203
@/home/ec2-user/data/topics/1145 204
@/home/ec2-user/data/topics/4141 205
@/home/ec2-user/data/topics/1099 205
@/home/ec2-user/data/topics/3569 206
@/home/ec2-user/data/topics/4781 207
@/home/ec2-user/data/topics/1400 207
@/home/ec2-user/data/topics/3388 207
@/home/ec2-user/data/topics/4605 208
@/home/ec2-user/data/topics/2190 208
@/home/ec2-user/data/topics/1564 208
日本電気株式会社

@/home/ec2-user/data/topics/3361 209
@/home/ec2-user/data/topics/2225 209
@/home/ec2-user/data/topics/1390 209
@/home/ec2-user/data/topics/4575 209
@/home/ec2-user/data/topics/1960 209
@/home/ec2-user/data/topics/1395 209
@/home/ec2-user/data/topics/4902 209
@/home/ec2-user/data/topics/3918 210
@/home/ec2-user/data/topics/3845 210
@/home/ec2-user/data/topics/1872 210
@/home/ec2-user/data/topics/3527 210
@/home/ec2-user/data/topics/2122 210
@/home/ec2-user/data/topics/4851 210
@/home/ec2-user/data/topics/1920 210
@/home/ec2-user/data/topics/1867 210
@/home/ec2-user/data/topics/4742 211
@/home/ec2-user/data/topics/4280 212
@/home/ec2-user/data/topics/1604 212
@/home/ec2-user/data/topics/1990 212
@/home/ec2-user/data/topics/4109 212
@/home/ec2-user/data/topics/4433 212
@/home/ec2-user/data/topics/3356 213
@/home/ec2-user/data/topics/4082 213
@/home/ec2-user/data/topics/4480 214
@/home/ec2-user/data/topics/4739 215
@/home/ec2-user/data/topics/2186 215
@/home/ec2-user/data/topics/4254 215
@/home/ec2-user/data/topics/1863 216
@/home/ec2-user/data/topics/4666 216
@/home/ec2-user/data/topics/1934 217
@/home/ec2-user/data/topics/4784 217
@/home/ec2-user/data/topics/4477 217
@/home/ec2-user/data/topics/4650 218
@/home/ec2-user/data/topics/3995 219
@/home/ec2-user/data/topics/4207 220
@/home/ec2-user/data/topics/2053 221
@/home/ec2-user/data/topics/1911 221
@/home/ec2-user/data/topics/4533 221
@/home/ec2-user/data/topics/4390 222
@/home/ec2-user/data/topics/4298 223
@/home/ec2-user/data/topics/1539 223
@/home/ec2-user/data/topics/4404 223
@/home/ec2-user/data/topics/2226 224
@/home/ec2-user/data/topics/3352 224
@/home/ec2-user/data/topics/4598 224
@/home/ec2-user/data/topics/4196 225
@/home/ec2-user/data/topics/4526 226
@/home/ec2-user/data/topics/1791 226
@/home/ec2-user/data/topics/3658 227
@/home/ec2-user/data/topics/1016 227
@/home/ec2-user/data/topics/1049 228
@/home/ec2-user/data/topics/3750 228
@/home/ec2-user/data/topics/4657 228
@/home/ec2-user/data/topics/1764 229
@/home/ec2-user/data/topics/1412 230
@/home/ec2-user/data/topics/2143 230
@/home/ec2-user/data/topics/1326 230
@/home/ec2-user/data/topics/4128 231
@/home/ec2-user/data/topics/4360 232
@/home/ec2-user/data/topics/4760 233
@/home/ec2-user/data/topics/4991 234
@/home/ec2-user/data/topics/2119 234
@/home/ec2-user/data/topics/3896 235
@/home/ec2-user/data/topics/3819 236
@/home/ec2-user/data/topics/4281 236
@/home/ec2-user/data/topics/4967 237
@/home/ec2-user/data/topics/4759 237
@/home/ec2-user/data/topics/2226 238
@/home/ec2-user/data/topics/4246 238
@/home/ec2-user/data/topics/4320 239
@/home/ec2-user/data/topics/4696 240
@/home/ec2-user/data/topics/2051 241
@/home/ec2-user/data/topics/1354 241
@/home/ec2-user/data/topics/2210 241
@/home/ec2-user/data/topics/3723 241
@/home/ec2-user/data/topics/4300 241
@/home/ec2-user/data/topics/1199 242
@/home/ec2-user/data/topics/4626 243
@/home/ec2-user/data/topics/3693 244
@/home/ec2-user/data/topics/4371 244
@/home/ec2-user/data/topics/4192 245
@/home/ec2-user/data/topics/4685 246
@/home/ec2-user/data/topics/4497 246
@/home/ec2-user/data/topics/3886 247
@/home/ec2-user/data/topics/4634 248
@/home/ec2-user/data/topics/4162 249
@/home/ec2-user/data/topics/3443 250
@/home/ec2-user/data/topics/1052 250
@/home/ec2-user/data/topics/3954 251
@/home/ec2-user/data/topics/1384 252
@/home/ec2-user/data/topics/4041 252
@/home/ec2-user/data/topics/3700 252
@/home/ec2-user/data/topics/3623 252
@/home/ec2-user/data/topics/1249 252
@/home/ec2-user/data/topics/1668 252
@/home/ec2-user/data/topics/4982 252
@/home/ec2-user/data/topics/1557 252
@/home/ec2-user/data/topics/4884 253
@/home/ec2-user/data/topics/1571 253
@/home/ec2-user/data/topics/3582 253
@/home/ec2-user/data/topics/4171 253
@/home/ec2-user/data/topics/1903 254
@/home/ec2-user/data/topics/1239 254
@/home/ec2-user/data/topics/4240 254
@/home/ec2-user/data/topics/3586 255
